title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Production companies,Languages,Countries,Story by,Written by,Created by,Original work,Owned by,Narration by,Narrated by,Color process,Years,Suggested by
Gangs of Wasseypur,Anurag Kashyap,Atul Shukla Anurag Kashyap Sunil Bohra Viacom 18 Motion Pictures,Henri-Georges Clouzot Jérome Geronimi,Le salaire de la peur by Georges Arnaud,Manoj Bajpayee Nawazuddin Siddiqui Richa Chadda Huma Qureshi Reema Sen Piyush Mishra Vineet Kumar Singh Pankaj Tripathi Tigmanshu Dhulia,Sneha Khanwalkar (soundtrack) G. V. Prakash Kumar (score),Rajeev Ravi,Shweta Venkat,Les Films du Carrosse,Viacom 18 Motion Pictures,"May 2012 ( 2012-05 ) ( Cannes ) June 22, 2012 ( 2012-06-22 ) (India)",321 minutes,India,Hindi,$2.4 million,$20.9 million,Anurag Kashyap Films Jar Pictures Elle Driver Productions,"['English', 'French', 'Kinyarwanda']","['United States', 'United Kingdom', 'South Africa', 'Italy']",Alejandro González Iñárritu Guillermo Arriaga,Zeishan Quadri Akhilesh Sachin Ladia Anurag Kashyap Akhilesh Jaiswal,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Rocky,John G. Avildsen,"['Irwin Winkler', 'Robert Chartoff']",Henri-Georges Clouzot Jérome Geronimi,Le salaire de la peur by Georges Arnaud,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith']",Bill Conti,James Crabe,"['Richard Halsey', 'Scott Conrad']",Chartoff-Winkler Productions,United Artists,"['November 21, 1976 ( 1976-11-21 ) (New York City)', 'December 3, 1976 ( 1976-12-03 ) (United States)']",119 minutes,United States,English,"$960,000 (equivalent to $4.31 million in 2019)",$225 million (equivalent to $1.01 billion in 2019),Anurag Kashyap Films Jar Pictures Elle Driver Productions,"['English', 'French', 'Kinyarwanda']","['United States', 'United Kingdom', 'South Africa', 'Italy']",Alejandro González Iñárritu Guillermo Arriaga,Sylvester Stallone,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
"Monsters, Inc.",Pete Docter,Darla K. Anderson,"['Andrew Stanton', 'Dan Gerson']",Le salaire de la peur by Georges Arnaud,"['John Goodman', 'Billy Crystal', 'Steve Buscemi', 'James Coburn', 'Jennifer Tilly', 'Mary Gibbs']",Randy Newman,James Crabe,"['Robert Grahamjones', 'Jim Stewart']",Chartoff-Winkler Productions,Buena Vista Pictures Distribution,"['October 28, 2001 ( 2001-10-28 ) ( El Capitan Theatre )', 'November 2, 2001 ( 2001-11-02 ) (United States)']",92 minutes,United States,English,$115 million,$577.4 million,"['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'French', 'Kinyarwanda']","['United States', 'United Kingdom', 'South Africa', 'Italy']","['Pete Docter', 'Jill Culton', 'Jeff Pidgeon', 'Ralph Eggleston']",Sylvester Stallone,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Дом за вешањеDom za vešanjeTime of the Gypsies,Emir Kusturica,Mirza Pašić,"['Andrew Stanton', 'Dan Gerson']",Le salaire de la peur by Georges Arnaud,Davor Dujmović Bora Todorović Ljubica Adžović,Goran Bregović,Vilko Filač,Andrija Zafranović,Forum Sarajevo,Columbia Pictures,"['21 December 1988 ( 1988-12-21 ) (Yugoslavia)', '9 February 1990 ( 1990-02-09 ) (United States)']",140 minutes,United States,English,$115 million,$577.4 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,"['Pete Docter', 'Jill Culton', 'Jeff Pidgeon', 'Ralph Eggleston']",Emir Kusturica Gordan Mihić,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Before Sunset,Richard Linklater,Richard Linklater Anne Walker-McBay,Richard Linklater Ethan Hawke Julie Delpy,Characters by Richard Linklater and Kim Krizan,Ethan Hawke Julie Delpy,Goran Bregović,Lee Daniel,Sandra Adair,Castle Rock Entertainment,Warner Independent Pictures,"['February 10, 2004 ( 2004-02-10 ) ( BIFF )', 'July 2, 2004 ( 2004-07-02 ) (United States)']",80 minutes,United States,English,$2.7 million,$16 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,Richard Linklater Kim Krizan,Emir Kusturica Gordan Mihić,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Rang De Basanti,Rakeysh Omprakash Mehra,Rakeysh Omprakash Mehra Ronnie Screwvala,Richard Linklater Ethan Hawke Julie Delpy,Characters by Richard Linklater and Kim Krizan,Aamir Khan Siddharth R. Madhavan Sharman Joshi Atul Kulkarni Kunal Kapoor Alice Patten Soha Ali Khan Waheeda Rehman,A. R. Rahman,Binod Pradhan,P. S. Bharathi,Rakeysh Omprakash Mehra Pictures,UTV Motion Pictures,['27 January 2006 ( 2006-01-27 )'],157 minutes,India,Hindi,$2.7 million,est. ₹ 970 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,Kamlesh Pandey,Rakeysh Omprakash Mehra Kamlesh Pandey Rensil D'Silva,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Rififi,Jules Dassin,"['Henri Bérard', 'Pierre Cabaud', 'René Bézard']",Richard Linklater Ethan Hawke Julie Delpy,Characters by Richard Linklater and Kim Krizan,"['Jean Servais', 'Robert Hossein', 'Magali Noël', 'Janine Darcey', 'Pierre Grasset', 'Marcel Lupovici', 'Robert Manuel', 'Carl Möhner', 'Marie Sabouret', 'Claude Sylvain']",Georges Auric,Philippe Agostini,Roger Dwyre,Rakeysh Omprakash Mehra Pictures,Pathé (France),['13 April 1955 ( 1955-04-13 )'],115 minutes,France,French,"$200,000",est. ₹ 970 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,Kamlesh Pandey,"['Auguste Le Breton', 'Jules Dassin', 'René Wheeler']",Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Drishyam,Jeethu Joseph,Antony Perumbavoor,Richard Linklater Ethan Hawke Julie Delpy,Characters by Richard Linklater and Kim Krizan,"['Mohanlal', 'Meena', 'Ansiba Hassan', 'Esther Anil', 'Asha Sarath', 'Siddique', 'Kalabhavan Shajon']",Songs: Anil Johnson Vinu Thomas Score: Anil Johnson,Sujith Vaassudev,Ayoob Khan,Aashirvad Cinemas,Maxlab Cinemas and Entertainments (India),['19 December 2013 ( 2013-12-19 ) ( Kerala )'],164 minutes,India,Malayalam,₹ 35–50 million,est. ₹ 750 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,Kamlesh Pandey,Jeethu Joseph,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
It Happened One Night,Frank Capra,Frank Capra Harry Cohn,Robert Riskin,"""Night Bus"" by Samuel Hopkins Adams",Clark Gable Claudette Colbert,Howard Jackson Louis Silvers,Joseph Walker,Gene Havlick,Aashirvad Cinemas,Columbia Pictures,"['February 22, 1934 ( 1934-02-22 )']",105 minutes,United States,English,"$325,000",$2.5 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,Kamlesh Pandey,Jeethu Joseph,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Drishyam,Jeethu Joseph,Antony Perumbavoor,Robert Riskin,"""Night Bus"" by Samuel Hopkins Adams","['Mohanlal', 'Meena', 'Ansiba Hassan', 'Esther Anil', 'Asha Sarath', 'Siddique', 'Kalabhavan Shajon']",Songs: Anil Johnson Vinu Thomas Score: Anil Johnson,Sujith Vaassudev,Ayoob Khan,Aashirvad Cinemas,Maxlab Cinemas and Entertainments (India),['19 December 2013 ( 2013-12-19 ) ( Kerala )'],164 minutes,India,Malayalam,₹ 35–50 million,est. ₹ 750 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Romani Serbo-Croatian Italian,Yugoslavia Italy,Kamlesh Pandey,Jeethu Joseph,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
The Battle of Algiers,Gillo Pontecorvo,Antonio Musu Saadi Yacef,Robert Riskin,"""Night Bus"" by Samuel Hopkins Adams",Jean Martin Saadi Yacef Brahim Haggiag Tommaso Neri,Ennio Morricone Gillo Pontecorvo,Marcello Gatti,Mario Morra Mario Serandrei,Aashirvad Cinemas,"Rizzoli , Rialto Pictures","['August 31, 1966 ( 1966-08-31 ) ( VIFF )', 'September 8, 1966 ( 1966-09-08 ) (Algeria)']",120 minutes,India,Malayalam,"$800,000","$879,794 (domestic)","['Walt Disney Pictures', 'Pixar Animation Studios']",Arabic French,Italy Algeria,Kamlesh Pandey,Gillo Pontecorvo Franco Solinas,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
Tangerines,Zaza Urushadze,"['Ivo Felt', 'Zaza Urushadze']",Robert Riskin,"""Night Bus"" by Samuel Hopkins Adams","['Lembit Ulfsak', 'Elmo Nüganen', 'Mikheil Meskhi', 'Giorgi Nakashidze', 'Raivo Trass']",Niaz Diasamidze,Rein Kotov,Alexander Kuranov,Aashirvad Cinemas,"Allfilm , Cinema 24 , Samuel Goldwyn Films",['15 October 2013 ( 2013-10-15 )'],87 minutes,India,Malayalam,"€650,000","$ 1,052,799","['Walt Disney Pictures', 'Pixar Animation Studios']",Estonian Russian,"Estonia, Georgia",Kamlesh Pandey,Zaza Urushadze,Cressida Cowell,How to Train Your Dragon (2003–2015),DreamWorks Animation ( Universal Pictures ),Michael Herr,Colin James Mackey,Technicolor,1990–present,"""Crime on the Waterfront"" by Malcolm Johnson"
